Fecha,Latitud,Longitud,Pm25,Vivienda.ID
2019-05-24 00:59:36,-38.74871685353589,-72.62070582069964,35.0,Las Encinas
2019-05-24 01:59:36,-38.74871685353589,-72.62070582069964,51.0,Las Encinas
2019-05-24 02:59:36,-38.74871685353589,-72.62070582069964,64.0,Las Encinas
2019-05-24 03:59:36,-38.74871685353589,-72.62070582069964,46.0,Las Encinas
2019-05-24 04:59:36,-38.74871685353589,-72.62070582069964,17.0,Las Encinas
2019-05-24 05:59:36,-38.74871685353589,-72.62070582069964,13.0,Las Encinas
2019-05-24 06:59:36,-38.74871685353589,-72.62070582069964,20.0,Las Encinas
2019-05-24 07:59:36,-38.74871685353589,-72.62070582069964,19.0,Las Encinas
2019-05-24 08:59:36,-38.74871685353589,-72.62070582069964,22.0,Las Encinas
2019-05-24 09:59:37,-38.74871685353589,-72.62070582069964,25.0,Las Encinas
2019-05-24 10:59:36,-38.74871685353589,-72.62070582069964,46.0,Las Encinas
2019-05-24 11:59:36,-38.74871685353589,-72.62070582069964,42.0,Las Encinas
2019-05-24 12:59:36,-38.74871685353589,-72.62070582069964,54.0,Las Encinas
2019-05-24 13:59:36,-38.74871685353589,-72.62070582069964,90.0,Las Encinas
2019-05-24 14:59:36,-38.74871685353589,-72.62070582069964,67.0,Las Encinas
2019-05-24 15:59:36,-38.74871685353589,-72.62070582069964,75.0,Las Encinas
2019-05-24 16:59:37,-38.74871685353589,-72.62070582069964,91.0,Las Encinas
2019-05-24 17:59:36,-38.74871685353589,-72.62070582069964,166.0,Las Encinas
2019-05-24 18:59:36,-38.74871685353589,-72.62070582069964,222.0,Las Encinas
2019-05-24 19:59:36,-38.74871685353589,-72.62070582069964,310.0,Las Encinas
2019-05-24 20:59:35,-38.74871685353589,-72.62070582069964,317.0,Las Encinas
2019-05-24 21:59:35,-38.74871685353589,-72.62070582069964,163.0,Las Encinas
2019-05-24 22:59:35,-38.74871685353589,-72.62070582069964,289.0,Las Encinas
2019-05-24 23:59:35,-38.74871685353589,-72.62070582069964,413.0,Las Encinas
2019-05-25 00:59:35,-38.74871685353589,-72.62070582069964,252.0,Las Encinas
2019-05-25 01:59:35,-38.74871685353589,-72.62070582069964,168.0,Las Encinas
2019-05-25 02:59:37,-38.74871685353589,-72.62070582069964,102.0,Las Encinas
2019-05-25 03:59:35,-38.74871685353589,-72.62070582069964,61.0,Las Encinas
2019-05-25 04:59:35,-38.74871685353589,-72.62070582069964,66.0,Las Encinas
2019-05-25 05:59:35,-38.74871685353589,-72.62070582069964,80.0,Las Encinas
2019-05-25 06:59:35,-38.74871685353589,-72.62070582069964,76.0,Las Encinas
2019-05-25 07:59:35,-38.74871685353589,-72.62070582069964,61.0,Las Encinas
2019-05-25 08:59:35,-38.74871685353589,-72.62070582069964,56.0,Las Encinas
2019-05-25 09:59:37,-38.74871685353589,-72.62070582069964,65.0,Las Encinas
2019-05-25 10:59:35,-38.74871685353589,-72.62070582069964,78.0,Las Encinas
2019-05-25 11:59:35,-38.74871685353589,-72.62070582069964,103.0,Las Encinas
2019-05-25 12:59:35,-38.74871685353589,-72.62070582069964,107.0,Las Encinas
2019-05-25 13:59:35,-38.74871685353589,-72.62070582069964,135.0,Las Encinas
2019-05-25 14:59:35,-38.74871685353589,-72.62070582069964,119.0,Las Encinas
2019-05-25 15:59:35,-38.74871685353589,-72.62070582069964,123.0,Las Encinas
2019-05-25 16:59:35,-38.74871685353589,-72.62070582069964,156.0,Las Encinas
2019-05-25 17:59:35,-38.74871685353589,-72.62070582069964,154.0,Las Encinas
2019-05-25 18:59:35,-38.74871685353589,-72.62070582069964,247.0,Las Encinas
2019-05-25 19:59:35,-38.74871685353589,-72.62070582069964,258.0,Las Encinas
2019-05-25 20:59:35,-38.74871685353589,-72.62070582069964,185.0,Las Encinas
2019-05-25 21:59:35,-38.74871685353589,-72.62070582069964,132.0,Las Encinas
2019-05-25 22:59:35,-38.74871685353589,-72.62070582069964,84.0,Las Encinas
2019-05-25 23:59:35,-38.74871685353589,-72.62070582069964,96.0,Las Encinas
2019-05-26 00:59:35,-38.74871685353589,-72.62070582069964,101.0,Las Encinas
2019-05-26 01:59:35,-38.74871685353589,-72.62070582069964,176.0,Las Encinas
2019-05-26 02:59:35,-38.74871685353589,-72.62070582069964,197.0,Las Encinas
2019-05-26 03:59:35,-38.74871685353589,-72.62070582069964,192.0,Las Encinas
2019-05-26 04:59:35,-38.74871685353589,-72.62070582069964,108.0,Las Encinas
2019-05-26 05:59:35,-38.74871685353589,-72.62070582069964,100.0,Las Encinas
2019-05-26 06:59:35,-38.74871685353589,-72.62070582069964,94.0,Las Encinas
2019-05-26 07:59:35,-38.74871685353589,-72.62070582069964,92.0,Las Encinas
2019-05-26 08:59:35,-38.74871685353589,-72.62070582069964,87.0,Las Encinas
2019-05-26 09:59:35,-38.74871685353589,-72.62070582069964,124.0,Las Encinas
2019-05-26 10:59:35,-38.74871685353589,-72.62070582069964,100.0,Las Encinas
2019-05-26 11:59:35,-38.74871685353589,-72.62070582069964,110.0,Las Encinas
2019-05-26 12:59:35,-38.74871685353589,-72.62070582069964,105.0,Las Encinas
2019-05-26 13:59:35,-38.74871685353589,-72.62070582069964,45.0,Las Encinas
2019-05-26 14:59:36,-38.74871685353589,-72.62070582069964,19.0,Las Encinas
2019-05-26 15:59:35,-38.74871685353589,-72.62070582069964,17.0,Las Encinas
2019-05-26 16:59:35,-38.74871685353589,-72.62070582069964,21.0,Las Encinas
2019-05-26 17:59:35,-38.74871685353589,-72.62070582069964,37.0,Las Encinas
2019-05-26 18:59:35,-38.74871685353589,-72.62070582069964,110.0,Las Encinas
2019-05-26 19:59:35,-38.74871685353589,-72.62070582069964,121.0,Las Encinas
2019-05-26 20:59:35,-38.74871685353589,-72.62070582069964,176.0,Las Encinas
2019-05-26 21:59:36,-38.74871685353589,-72.62070582069964,68.0,Las Encinas
2019-05-26 22:59:35,-38.74871685353589,-72.62070582069964,67.0,Las Encinas
2019-05-26 23:59:35,-38.74871685353589,-72.62070582069964,63.0,Las Encinas
2019-05-24 00:59:36,-38.72693031220911,-72.57989472632165,35.0,Ñielol
2019-05-24 01:59:36,-38.72693031220911,-72.57989472632165,31.0,Ñielol
2019-05-24 02:59:36,-38.72693031220911,-72.57989472632165,57.0,Ñielol
2019-05-24 03:59:36,-38.72693031220911,-72.57989472632165,36.0,Ñielol
2019-05-24 04:59:36,-38.72693031220911,-72.57989472632165,13.0,Ñielol
2019-05-24 05:59:36,-38.72693031220911,-72.57989472632165,22.0,Ñielol
2019-05-24 06:59:36,-38.72693031220911,-72.57989472632165,31.0,Ñielol
2019-05-24 07:59:36,-38.72693031220911,-72.57989472632165,21.0,Ñielol
2019-05-24 08:59:36,-38.72693031220911,-72.57989472632165,34.0,Ñielol
2019-05-24 09:59:37,-38.72693031220911,-72.57989472632165,34.0,Ñielol
2019-05-24 10:59:36,-38.72693031220911,-72.57989472632165,44.0,Ñielol
2019-05-24 11:59:36,-38.72693031220911,-72.57989472632165,39.0,Ñielol
2019-05-24 12:59:36,-38.72693031220911,-72.57989472632165,42.0,Ñielol
2019-05-24 13:59:36,-38.72693031220911,-72.57989472632165,78.0,Ñielol
2019-05-24 14:59:36,-38.72693031220911,-72.57989472632165,107.0,Ñielol
2019-05-24 15:59:36,-38.72693031220911,-72.57989472632165,83.0,Ñielol
2019-05-24 16:59:37,-38.72693031220911,-72.57989472632165,118.0,Ñielol
2019-05-24 17:59:36,-38.72693031220911,-72.57989472632165,133.0,Ñielol
2019-05-24 18:59:36,-38.72693031220911,-72.57989472632165,85.0,Ñielol
2019-05-24 19:59:36,-38.72693031220911,-72.57989472632165,129.0,Ñielol
2019-05-24 20:59:35,-38.72693031220911,-72.57989472632165,325.0,Ñielol
2019-05-24 21:59:35,-38.72693031220911,-72.57989472632165,343.0,Ñielol
2019-05-24 22:59:35,-38.72693031220911,-72.57989472632165,168.0,Ñielol
2019-05-24 23:59:35,-38.72693031220911,-72.57989472632165,271.0,Ñielol
2019-05-25 00:59:35,-38.72693031220911,-72.57989472632165,169.0,Ñielol
2019-05-25 01:59:35,-38.72693031220911,-72.57989472632165,153.0,Ñielol
2019-05-25 02:59:37,-38.72693031220911,-72.57989472632165,111.0,Ñielol
2019-05-25 03:59:35,-38.72693031220911,-72.57989472632165,82.0,Ñielol
2019-05-25 04:59:35,-38.72693031220911,-72.57989472632165,73.0,Ñielol
2019-05-25 05:59:35,-38.72693031220911,-72.57989472632165,71.0,Ñielol
2019-05-25 06:59:35,-38.72693031220911,-72.57989472632165,64.0,Ñielol
2019-05-25 07:59:35,-38.72693031220911,-72.57989472632165,67.0,Ñielol
2019-05-25 08:59:35,-38.72693031220911,-72.57989472632165,74.0,Ñielol
2019-05-25 09:59:37,-38.72693031220911,-72.57989472632165,70.0,Ñielol
2019-05-25 10:59:35,-38.72693031220911,-72.57989472632165,83.0,Ñielol
2019-05-25 11:59:35,-38.72693031220911,-72.57989472632165,124.0,Ñielol
2019-05-25 12:59:35,-38.72693031220911,-72.57989472632165,136.0,Ñielol
2019-05-25 13:59:35,-38.72693031220911,-72.57989472632165,90.0,Ñielol
2019-05-25 14:59:35,-38.72693031220911,-72.57989472632165,76.0,Ñielol
2019-05-25 15:59:35,-38.72693031220911,-72.57989472632165,66.0,Ñielol
2019-05-25 16:59:35,-38.72693031220911,-72.57989472632165,83.0,Ñielol
2019-05-25 17:59:35,-38.72693031220911,-72.57989472632165,107.0,Ñielol
2019-05-25 18:59:35,-38.72693031220911,-72.57989472632165,144.0,Ñielol
2019-05-25 19:59:35,-38.72693031220911,-72.57989472632165,159.0,Ñielol
2019-05-25 20:59:35,-38.72693031220911,-72.57989472632165,173.0,Ñielol
2019-05-25 21:59:35,-38.72693031220911,-72.57989472632165,79.0,Ñielol
2019-05-25 22:59:35,-38.72693031220911,-72.57989472632165,99.0,Ñielol
2019-05-25 23:59:35,-38.72693031220911,-72.57989472632165,175.0,Ñielol
2019-05-26 00:59:35,-38.72693031220911,-72.57989472632165,135.0,Ñielol
2019-05-26 01:59:35,-38.72693031220911,-72.57989472632165,79.0,Ñielol
2019-05-26 02:59:35,-38.72693031220911,-72.57989472632165,110.0,Ñielol
2019-05-26 03:59:35,-38.72693031220911,-72.57989472632165,92.0,Ñielol
2019-05-26 04:59:35,-38.72693031220911,-72.57989472632165,92.0,Ñielol
2019-05-26 05:59:35,-38.72693031220911,-72.57989472632165,87.0,Ñielol
2019-05-26 06:59:35,-38.72693031220911,-72.57989472632165,96.0,Ñielol
2019-05-26 07:59:35,-38.72693031220911,-72.57989472632165,100.0,Ñielol
2019-05-26 08:59:35,-38.72693031220911,-72.57989472632165,87.0,Ñielol
2019-05-26 09:59:35,-38.72693031220911,-72.57989472632165,87.0,Ñielol
2019-05-26 10:59:35,-38.72693031220911,-72.57989472632165,113.0,Ñielol
2019-05-26 11:59:35,-38.72693031220911,-72.57989472632165,108.0,Ñielol
2019-05-26 12:59:35,-38.72693031220911,-72.57989472632165,72.0,Ñielol
2019-05-26 13:59:35,-38.72693031220911,-72.57989472632165,38.0,Ñielol
2019-05-26 14:59:36,-38.72693031220911,-72.57989472632165,14.0,Ñielol
2019-05-26 15:59:35,-38.72693031220911,-72.57989472632165,21.0,Ñielol
2019-05-26 16:59:35,-38.72693031220911,-72.57989472632165,14.0,Ñielol
